,id,positive_negtive,public_date,label
0,f000950527a6feb68b2de1c0fb54cf2919d4029742a7a1c4,中立,947.0,0
1,f000950527a6feb68b2de1c0fb54cf2919d4029742a7a1c4,中立,1049.0,0
2,f000950527a6feb68b2de1c0fb54cf2919d4029742a7a1c4,中立,1074.0,0
3,f000950527a6feb68b2de1c0fb54cf2919d4029742a7a1c4,中立,2021.0,0
4,f000950527a6feb6501a4840649c985816c6be5d44f1a75a,积极,1090.0,1
5,f000950527a6feb6501a4840649c985816c6be5d44f1a75a,积极,1497.0,1
6,82750f1b9d12235035ad8f3632856b959e013d97f2170e2d,中立,604.0,0
7,f000950527a6feb64f2d2faa5a702172f4865679e49897c7,积极,584.0,1
8,f000950527a6feb63837cba9eb06ef53fcb936ace7e8526a,中立,956.0,0
9,f000950527a6feb63837cba9eb06ef53fcb936ace7e8526a,中立,1592.0,0
10,e9f7b28ec10e04708cf1cc7451ba3008f9232249d39aaa3f,消极,965.0,1
11,e9f7b28ec10e04708cf1cc7451ba3008f9232249d39aaa3f,中立,1586.0,1
12,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,73.0,0
13,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,243.0,0
14,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,244.0,0
15,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,258.0,0
16,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,267.0,0
17,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,269.0,0
18,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,287.0,0
19,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,291.0,0
20,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,312.0,0
21,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,312.0,0
22,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,312.0,0
23,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,73.0,0
24,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,325.0,0
25,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,331.0,0
26,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,398.0,0
27,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,410.0,0
28,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,457.0,0
29,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,消极,668.0,0
30,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,933.0,0
31,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,939.0,0
32,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,967.0,0
33,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,1032.0,0
34,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,75.0,0
35,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1082.0,0
36,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1099.0,0
37,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1124.0,0
38,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,中立,1138.0,0
39,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,消极,1166.0,0
40,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1178.0,0
41,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1204.0,0
42,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1381.0,0
43,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1439.0,0
44,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1451.0,0
45,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,101.0,0
46,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1460.0,0
47,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1461.0,0
48,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1482.0,0
49,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1574.0,0
50,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1599.0,0
51,f000950527a6feb6a3e5db12921603ab7f44bcfd265bd5b1,积极,1639.0,0
